"","P","Q","E"
"1980-06-28",52.4392,3.6587037037037,1.0524
"1980-06-29",51.6172,11.2699074074074,0.9738
"1980-06-30",28.559,11.7709259259259,1.0613
"1980-07-01",1.8043,3.83092592592593,1.026
"1980-07-02",6.8001,2.78712962962963,1.0216
"1980-07-03",4.2986,3.0287962962963,1.029
"1980-07-04",11.8375,3.28888888888889,1.0188
"1980-07-05",6.1235,3.35407407407407,1.0115
"1980-07-06",3.3645,3.425,1.0562
"1980-07-07",2.9027,2.7775,1.0809
"1980-07-08",4.0323,2.83222222222222,1.0688
"1980-07-09",11.1351,3.97268518518519,1.037
"1980-07-10",2.6175,3.04157407407407,1.0567
"1980-07-11",0.0564,2.31601851851852,1.0177
"1980-07-12",0.1995,1.99185185185185,1.1252
"1980-07-13",0,1.76453703703704,1.1525
"1980-07-14",0.7527,1.65351851851852,1.212
"1980-07-15",3.7312,1.71138888888889,1.1534
"1980-07-16",0.6214,1.48259259259259,1.2146
"1980-07-17",0.4295,1.3625,1.2096
"1980-07-18",4.6619,1.6612037037037,1.16
"1980-07-19",5.089,1.78638888888889,1.1552
"1980-07-20",0.2625,1.60333333333333,1.072
"1980-07-21",8.8644,2.2262037037037,1.1749
"1980-07-22",1.7528,1.78277777777778,1.2256
"1980-07-23",0,1.40574074074074,1.2259
"1980-07-24",0,1.2625,1.2935
"1980-07-25",0,1.1662037037037,1.3717
"1980-07-26",0.558,1.105,1.3887
"1980-07-27",1.8503,1.12416666666667,1.2008
"1980-07-28",27.431,3.49361111111111,1.279
"1980-07-29",4.8962,2.70907407407407,1.2685
"1980-07-30",1.1933,1.9287962962963,1.2958
"1980-07-31",4.8145,1.94555555555556,1.3007
"1980-08-01",0.8685,1.65851851851852,1.3098
"1980-08-02",5.2873,2.47888888888889,1.2465
"1980-08-03",16.8821,3.7112037037037,1.3827
"1980-08-04",1.7783,2.24166666666667,1.34
"1980-08-05",0,1.93675925925926,1.5618
"1980-08-06",0,1.73453703703704,1.3949
"1980-08-07",11.4686,2.07916666666667,1.3771
"1980-08-08",4.5236,2.01712962962963,1.4537
"1980-08-09",0,1.62537037037037,1.4869
"1980-08-10",0,1.49777777777778,1.7305
"1980-08-11",0.7258,1.47083333333333,1.5863
"1980-08-12",4.5182,1.55324074074074,1.3816
"1980-08-13",6.8021,1.6612037037037,1.747
"1980-08-14",0.5139,1.3925,1.4134
"1980-08-15",15.6415,2.50555555555556,1.5765
"1980-08-16",6.8745,2.49666666666667,1.4027
"1980-08-17",0.357,1.8887037037037,1.8831
"1980-08-18",0,1.5337962962963,1.9447
"1980-08-19",0.0708,1.41101851851852,2.0421
"1980-08-20",4.772,1.51175925925926,1.6392
"1980-08-21",16.2076,2.49481481481481,1.7635
"1980-08-22",0.0113,1.83981481481481,2.1402
"1980-08-23",0,1.48148148148148,2.348
"1980-08-24",0.8725,1.37064814814815,1.8912
"1980-08-25",1.3123,1.41666666666667,1.7622
"1980-08-26",11.1286,2.01324074074074,1.9409
"1980-08-27",0.728,1.72805555555556,1.4614
"1980-08-28",0.0027,1.4662037037037,1.9972
"1980-08-29",0,1.33907407407407,1.9416
"1980-08-30",0.0119,1.26416666666667,2.5054
"1980-08-31",6.8951,1.3312037037037,2.0284
"1980-09-01",5.3877,1.67814814814815,1.6541
"1980-09-02",4.9979,1.89046296296296,1.834
"1980-09-03",6.9126,1.78833333333333,2.1952
"1980-09-04",0.0136,1.38907407407407,2.3969
"1980-09-05",0,1.22787037037037,2.5325
"1980-09-06",0,1.1687962962963,2.5594
"1980-09-07",0.4203,1.10148148148148,2.8297
"1980-09-08",0,1.10685185185185,2.017
"1980-09-09",14.4347,1.83851851851852,1.7643
"1980-09-10",11.9323,2.24425925925926,2.0169
"1980-09-11",0.9961,1.66814814814815,1.9567
"1980-09-12",5.2353,1.87194444444444,2.5458
